end_time,artist_name,track_name,ms_played,id
2021-02-15 06:55,Miley Cyrus,Mother's Daughter,146358,2WyRfGeHo97VC5mP1BBSzr
2021-02-15 12:30,RAC,Oakland,24490,0VXfZi7XhfJnuBvF6XiypU
2021-02-16 01:22,Maroon 5,Don't Know Nothing,8693,3fZjgGsSzffzKqs6e1pV8y
2021-02-16 01:23,Dua Lipa,We're Good,52618,7c8H6t64ADk7PkntXL9PIR
2021-02-16 01:27,The Weeknd,Save Your Tears,215627,5QO79kh1waicV47BqGRL3g
2021-02-16 01:31,PUBLIC,Make You Mine,232906,5iFwAOB2TFkPJk8sMlxP8g
2021-02-16 01:51,Quinn XCII,My Wife & 2 Dogs,16927,5Ofdnu8hv625HP7OXoE2nj
2021-02-16 11:59,Bella Coppola,Vodka Lemonade,15297,6oz29mq1MqZYIwxsUrvvwn
2021-02-16 12:00,DeVries,If I Like You,7720,4v7DgEMw6EvYyuQ4eWFD9l
2021-02-16 12:00,Hand Made House,In Bloom,2350,30HCB1FoE77IfGRyNv4eFq
2021-02-16 12:00,Joseph Tilley,I Want U,37460,4IWGnyOHDrVZEtPWfs4s7q
2021-02-16 12:01,Yerin Baek,Square (2017),21840,13On7DYsJ3IrWxBWuOwM8t
2021-02-16 12:01,ELLIANA,Emotional,6130,7ge7BHazYbVKi8qyZUX1Bm
2021-02-16 12:01,Sawyer,Emotional Girls,27080,4MuMF5ZGZ0xrJoYg9oj9SX
2021-02-16 12:01,Cody Fry,Vegas,13680,0AxZUYeQ9bZwSdt1LmZuok
2021-02-16 12:02,The Regrettes,I Love Us,6810,4356Typ82hUiFAynbLYbPn
2021-02-16 12:02,Bares,Montage,11530,4kUZvXB3LC3an3HX6h0s17
2021-02-16 12:02,Charlotte Lawrence,Talk You Down,1970,5y41zHFubnN6T5TpU8wHOx
2021-02-16 12:02,Lennon Stella,Golf On TV,2690,5xROgo35i9a9IbQgN56Clz
2021-02-16 12:02,Foxes,Love Not Loving You,4070,1VSsfA5Z37dSNPqiK5dxmM
2021-02-16 12:02,John K,if we never met (feat. Kelsea Ballerini),1840,5vDA0WiwxOzj4AJDKDl1Bz
2021-02-16 12:02,teddy<3,Under the Blue,8410,4jL6WWKFDqCOPo2hC3VhSS
2021-02-16 12:02,Perlo,Call Me a Fool,3610,4nNft158MTJ5fbbPt0tb2l
