"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content","ash.content.units","consumption.for.eg","consumption.for.eg.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto","consumption.uto.units","consumption.uto.btu","consumption.uto.btu.units","cost","cost.units","cost.per.btu","cost.per.btu.units","generation","generation.units","heat.content","heat.content.units","receipts","receipts.units","receipts.btu","receipts.btu.units","stocks","stocks.units","sulfur.content","sulfur.content.units","total.consumption","total.consumption.units","total.consumption.btu","total.consumption.btu.units"
"2022-10","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",49.67261,"million MMBtu",0,"thousand physical units",0.5338,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5463.92877,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",50.20641,"million MMBtu"
"2022-10","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",8.89188,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1005.52694,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",8.89188,"million MMBtu"
"2022-10","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",28.14938,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3183.23922,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",28.14938,"million MMBtu"
"2022-10","CA","California",98,"Electric Power","NG","natural gas",0,"percent",61704.178,"thousand Mcf",63.85152,"million MMBtu",2150.812,"thousand Mcf",2.21773,"million MMBtu",7.4,"dollars per Mcf",7.1627,"dollars per million Btu",8614.83502,"thousand megawatthours",1.0347,"Btu per Mcf",54561.359,"thousand Mcf",56461.24065,"billion Btu",NA,"thousand Mcf",0,"percent",63854.99,"thousand Mcf",66.06925,"million MMBtu"
"2022-09","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",51.29726,"million MMBtu",0,"thousand physical units",0.56592,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5630.59912,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",51.86319,"million MMBtu"
"2022-09","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",30.3182,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3428.49621,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",30.3182,"million MMBtu"
"2022-09","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",7.84548,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",887.19666,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",7.84548,"million MMBtu"
"2022-09","CA","California",98,"Electric Power","NG","natural gas",0,"percent",73144.95,"thousand Mcf",76.26532,"million MMBtu",2151.432,"thousand Mcf",2.23172,"million MMBtu",10.62,"dollars per Mcf",10.2099,"dollars per million Btu",9896.22369,"thousand megawatthours",1.0425,"Btu per Mcf",63836.938,"thousand Mcf",66526.70139,"billion Btu",NA,"thousand Mcf",0,"percent",75296.382,"thousand Mcf",78.49704,"million MMBtu"
"2022-08","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",34.89751,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3946.34405,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",34.89751,"million MMBtu"
"2022-08","CA","California",98,"Electric Power","NG","natural gas",0,"percent",78160.069,"thousand Mcf",80.97023,"million MMBtu",2159.404,"thousand Mcf",2.22772,"million MMBtu",10.44,"dollars per Mcf",10.0992,"dollars per million Btu",10660.20165,"thousand megawatthours",1.0358,"Btu per Mcf",67442.484,"thousand Mcf",69867.5592,"billion Btu",NA,"thousand Mcf",0,"percent",80319.473,"thousand Mcf",83.19795,"million MMBtu"
"2022-08","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",58.19133,"million MMBtu",0,"thousand physical units",0.57456,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",6398.50575,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",58.76589,"million MMBtu"
"2022-08","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",9.57505,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1082.78378,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",9.57505,"million MMBtu"
"2022-07","CA","California",98,"Electric Power","NG","natural gas",0,"percent",62978.417,"thousand Mcf",64.9123,"million MMBtu",1933.2,"thousand Mcf",1.98784,"million MMBtu",8.21,"dollars per Mcf",7.9942,"dollars per million Btu",8603.50463,"thousand megawatthours",1.0306,"Btu per Mcf",53954.162,"thousand Mcf",55594.08473,"billion Btu",NA,"thousand Mcf",0,"percent",64911.617,"thousand Mcf",66.90014,"million MMBtu"
