"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto.btu","consumption.uto.btu.units","generation","generation.units","total.consumption.btu","total.consumption.btu.units","consumption_gwh","ratio"
2022-10-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",49.67261,"million MMBtu",0.5338,"million MMBtu",5463.92877,"thousand megawatthours",50.20641,"million MMBtu",14675.9456299328,2.68596942744053
2022-10-01,"CA","California",98,"Electric Power","WND","wind","percent",8.89188,"million MMBtu",0,"million MMBtu",1005.52694,"thousand megawatthours",8.89188,"million MMBtu",2599.20491084478,2.58491822292179
2022-10-01,"CA","California",98,"Electric Power","SUN","solar","percent",28.14938,"million MMBtu",0,"million MMBtu",3183.23922,"thousand megawatthours",28.14938,"million MMBtu",8228.40689856767,2.584916284918
2022-10-01,"CA","California",98,"Electric Power","NG","natural gas","percent",63.85152,"million MMBtu",2.21773,"million MMBtu",8614.83502,"thousand megawatthours",66.06925,"million MMBtu",19312.8471207249,2.24181276552466
2022-09-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",51.29726,"million MMBtu",0.56592,"million MMBtu",5630.59912,"thousand megawatthours",51.86319,"million MMBtu",15160.2426191172,2.69247415701603
2022-09-01,"CA","California",98,"Electric Power","SUN","solar","percent",30.3182,"million MMBtu",0,"million MMBtu",3428.49621,"thousand megawatthours",30.3182,"million MMBtu",8862.37942122186,2.58491737437909
2022-09-01,"CA","California",98,"Electric Power","WND","wind","percent",7.84548,"million MMBtu",0,"million MMBtu",887.19666,"thousand megawatthours",7.84548,"million MMBtu",2293.32943583747,2.58491666981419
2022-09-01,"CA","California",98,"Electric Power","NG","natural gas","percent",76.26532,"million MMBtu",2.23172,"million MMBtu",9896.22369,"thousand megawatthours",78.49704,"million MMBtu",22945.6416252558,2.31862600766008
2022-08-01,"CA","California",98,"Electric Power","SUN","solar","percent",34.89751,"million MMBtu",0,"million MMBtu",3946.34405,"thousand megawatthours",34.89751,"million MMBtu",10200.967553347,2.58491591815138
2022-08-01,"CA","California",98,"Electric Power","NG","natural gas","percent",80.97023,"million MMBtu",2.22772,"million MMBtu",10660.20165,"thousand megawatthours",83.19795,"million MMBtu",24319.7749196141,2.28136162129861
