Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,111430,-,-,-,36.77,-120.58,-8,72,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Clearsky DHI,GHI,Clearsky GHI,Clearsky DNI,Cloud Type,Precipitable Water,Wind Direction
2002,1,1,0,30,0,0,7,0.124,1,100,8,1000,0,0,0,0,7,1.799,151.20000000000002
2002,1,1,1,30,0,0,7,0.124,1.1,100,8,1000,0,0,0,0,7,1.867,163.3
2002,1,1,2,30,0,0,7,0.124,1.1,100,8,1000,0,0,0,0,7,1.965,165.5
2002,1,1,3,30,0,0,7,0.124,1.1,100,8,1000,0,0,0,0,7,2.099,163.10000000000002
2002,1,1,4,30,0,0,7,0.124,1.1,100,8,1000,0,0,0,0,7,2.251,160.60000000000002
2002,1,1,5,30,0,0,7,0.124,1.2000000000000002,100,8,1000,0,0,0,0,6,2.396,155.70000000000002
2002,1,1,6,30,0,0,7,0.124,1.3,100,8,1000,0,0,0,0,6,2.497,154.10000000000002
2002,1,1,7,30,1,0,8,0.124,1.5,100,9,1000,13,1,19,168,6,2.5100000000000002,154.8
2002,1,1,8,30,16,0,9,0.124,2,93.54,11,1000,47,16,163,581,6,2.47,158.9
2002,1,1,9,30,71,0,9,0.124,2.5,87.04,13,1000,62,71,315,745,6,2.45,153.1
2002,1,1,10,30,194,144,10,0.124,2.8000000000000003,79.39,15,1000,71,257,430,815,8,2.443,145.8
2002,1,1,11,30,201,36,10,0.124,3,72.9,16,1000,75,219,494,846,4,2.415,144.9
2002,1,1,12,30,204,37,10,0.124,3,67.76,17,1000,75,223,501,852,6,2.373,145.4
2002,1,1,13,30,173,386,10,0.124,2.9000000000000004,64.43,18,1000,71,349,449,831,8,2.333,146.3
2002,1,1,14,30,135,340,10,0.124,2.5,69.46000000000001,17,1000,64,259,344,769,7,2.261,143.8
2002,1,1,15,30,82,269,11,0.124,1.9000000000000001,83.34,15,1000,50,145,198,637,8,2.152,136.6
2002,1,1,16,30,24,76,10,0.124,1.5,93.28,13,1000,23,29,43,303,7,2.051,130.1
2002,1,1,17,30,0,0,9,0.124,1.6,93.21000000000001,12,1000,0,0,0,0,7,1.991,134.3
2002,1,1,18,30,0,0,9,0.124,1.7000000000000002,92.32000000000001,12,1000,0,0,0,0,7,1.98,138.70000000000002
2002,1,1,19,30,0,0,9,0.124,1.6,92.22,12,1000,0,0,0,0,8,2.001,143.4
2002,1,1,20,30,0,0,9,0.124,1.6,92.27,12,1000,0,0,0,0,7,2.037,150.4
2002,1,1,21,30,0,0,9,0.124,1.5,99.49000000000001,11,1000,0,0,0,0,6,2.081,157.8
2002,1,1,22,30,0,0,9,0.124,1.5,100,11,1000,0,0,0,0,6,2.1430000000000002,162.10000000000002
2002,1,1,23,30,0,0,9,0.124,1.5,100,11,1000,0,0,0,0,7,2.237,161.5
2002,1,2,0,30,0,0,9,0.124,1.8,100,11,1000,0,0,0,0,8,2.367,156.3
2002,1,2,1,30,0,0,9,0.124,2.2,100,11,1000,0,0,0,0,6,2.519,149.20000000000002
2002,1,2,2,30,0,0,9,0.124,2.3000000000000003,100,11,1000,0,0,0,0,7,2.656,150.1
2002,1,2,3,30,0,0,9,0.124,2,100,11,1000,0,0,0,0,7,2.7520000000000002,155.5
2002,1,2,4,30,0,0,9,0.124,1.8,100,11,1000,0,0,0,0,6,2.8000000000000003,156.10000000000002
2002,1,2,5,30,0,0,9,0.124,1.7000000000000002,100,11,1000,0,0,0,0,6,2.806,149.20000000000002
2002,1,2,6,30,0,0,9,0.124,1.9000000000000001,100,11,1000,0,0,0,0,6,2.801,136.20000000000002
2002,1,2,7,30,3,0,9,0.124,2.3000000000000003,100,11,1000,14,3,18,138,6,2.824,123.80000000000001
2002,1,2,8,30,30,0,10,0.124,2.7,96.06,12,1000,48,30,160,557,6,2.847,130.1
2002,1,2,9,30,125,12,10,0.124,3,98.16,12,1000,64,129,311,727,6,2.853,133.9
2002,1,2,10,30,30,0,10,0.124,3.1,93.56,13,1000,77,30,423,786,6,2.863,133.4
2002,1,2,11,30,21,0,11,0.124,3.2,95.43,13,1000,80,21,488,821,6,2.879,125.9
2002,1,2,12,30,25,0,11,0.124,3.6,96.99000000000001,13,1000,78,25,496,832,6,2.878,122.4
2002,1,2,13,30,27,0,11,0.124,3.6,98.25,13,1000,77,27,443,801,6,2.798,127.80000000000001
2002,1,2,14,30,52,0,11,0.124,3.1,98.69,13,1000,68,52,340,743,6,2.614,132.4
2002,1,2,15,30,6,0,11,0.124,2.8000000000000003,100,12,1000,54,6,195,604,4,2.465,123.2
2002,1,2,16,30,9,0,11,0.124,2.4000000000000004,100,12,1000,26,9,42,232,4,2.43,123.10000000000001
2002,1,2,17,30,0,0,9,0.124,1.9000000000000001,100,11,1000,0,0,0,0,4,2.414,128.8
2002,1,2,18,30,0,0,9,0.124,1.6,100,11,1000,0,0,0,0,8,2.384,133.70000000000002
2002,1,2,19,30,0,0,9,0.124,1.4000000000000001,100,11,1000,0,0,0,0,7,2.343,141
2002,1,2,20,30,0,0,9,0.124,1.2000000000000002,100,10,1000,0,0,0,0,8,2.2560000000000002,152.70000000000002
2002,1,2,21,30,0,0,9,0.124,0.9,100,10,1000,0,0,0,0,4,2.117,166.60000000000002
2002,1,2,22,30,0,0,8,0.124,0.5,100,9,1000,0,0,0,0,4,1.966,184
2002,1,2,23,30,0,0,8,0.124,0.4,100,9,1000,0,0,0,0,4,1.838,211
2002,1,3,0,30,0,0,8,0.124,0.6000000000000001,100,9,1000,0,0,0,0,1,1.725,245.60000000000002
2002,1,3,1,30,0,0,8,0.124,0.9,100,9,1000,0,0,0,0,1,1.609,274.5
2002,1,3,2,30,0,0,7,0.124,1.1,100,8,1000,0,0,0,0,0,1.491,287.1
2002,1,3,3,30,0,0,6,0.124,1.1,100,7,1000,0,0,0,0,0,1.383,287.5
2002,1,3,4,30,0,0,6,0.124,1.1,100,7,1000,0,0,0,0,0,1.291,284.40000000000003
2002,1,3,5,30,0,0,4,0.124,1.2000000000000002,100,6,1000,0,0,0,0,0,1.199,285.2
2002,1,3,6,30,0,0,4,0.124,1.1,100,6,1000,0,0,0,0,1,1.104,288.7
2002,1,3,7,30,15,154,6,0.124,1.5,100,7,1000,15,19,19,154,0,1.037,289.1
2002,1,3,8,30,53,484,7,0.124,2.4000000000000004,97.06,9,1010,51,150,170,594,8,1.025,276.6
2002,1,3,9,30,68,765,8,0.124,2.9000000000000004,89.97,11,1010,68,329,329,765,0,1.024,273.2
2002,1,3,10,30,86,812,8,0.124,3.3000000000000003,87.06,12,1010,86,445,445,812,0,1.006,290.3
2002,1,3,11,30,83,870,8,0.124,3.6,73.39,14,1010,83,516,516,870,0,0.996,308.40000000000003
2002,1,3,12,30,79,888,7,0.124,3.6,65.24,15,1010,79,526,526,888,0,1,319.40000000000003
2002,1,3,13,30,73,871,7,0.124,3.5,63.76,15,1010,73,473,473,871,0,1.004,323.20000000000005
2002,1,3,14,30,65,813,7,0.124,3.2,67.98,14,1010,65,364,364,813,0,1.006,319.70000000000005
2002,1,3,15,30,51,685,7,0.124,2.4000000000000004,78.77,12,1010,51,213,213,685,0,0.998,316.70000000000005
2002,1,3,16,30,24,358,7,0.124,1.6,99.18,9,1010,24,50,50,358,0,0.971,316.20000000000005
2002,1,3,17,30,0,0,7,0.124,1.6,100,8,1010,0,0,0,0,0,0.9440000000000001,318.90000000000003
2002,1,3,18,30,0,0,6,0.124,1.5,100,7,1010,0,0,0,0,0,0.929,320
2002,1,3,19,30,0,0,4,0.124,1.4000000000000001,100,6,1010,0,0,0,0,0,0.92,321.20000000000005
2002,1,3,20,30,0,0,4,0.124,1.4000000000000001,100,6,1010,0,0,0,0,0,0.916,320.40000000000003
2002,1,3,21,30,0,0,4,0.124,1.4000000000000001,100,6,1010,0,0,0,0,0,0.917,317.40000000000003
2002,1,3,22,30,0,0,4,0.124,1.4000000000000001,100,6,1010,0,0,0,0,0,0.925,312.6
2002,1,3,23,30,0,0,4,0.124,1.5,100,6,1010,0,0,0,0,0,0.9430000000000001,312.1
2002,1,4,0,30,0,0,4,0.124,1.4000000000000001,100,6,1010,0,0,0,0,0,0.964,314.5
2002,1,4,1,30,0,0,4,0.124,1.4000000000000001,100,6,1010,0,0,0,0,0,0.975,310.1
2002,1,4,2,30,0,0,4,0.124,1.4000000000000001,100,5,1010,0,0,0,0,0,0.968,300.2
2002,1,4,3,30,0,0,4,0.124,1.2000000000000002,100,5,1010,0,0,0,0,0,0.96,289.40000000000003
2002,1,4,4,30,0,0,4,0.124,0.8,100,5,1010,0,0,0,0,0,0.976,278.2
2002,1,4,5,30,0,0,4,0.124,0.6000000000000001,100,5,1010,0,0,0,0,0,1.012,278.90000000000003
2002,1,4,6,30,0,0,4,0.124,0.7000000000000001,100,5,1010,0,0,0,0,1,1.037,249.60000000000002
2002,1,4,7,30,14,173,4,0.124,0.6000000000000001,93.54,6,1010,14,19,19,173,1,1.051,231
2002,1,4,8,30,49,612,4,0.124,0.7000000000000001,85.53,8,1010,49,171,171,612,0,1.077,155
2002,1,4,9,30,89,0,4,0.124,1.4000000000000001,75.83,10,1010,65,89,330,777,4,1.097,104.7
2002,1,4,10,30,184,51,5,0.124,1.9000000000000001,71.56,11,1010,90,207,441,791,4,1.104,120.80000000000001
2002,1,4,11,30,152,562,5,0.124,2.1,67.85,12,1010,95,432,509,830,8,1.108,138.6
2002,1,4,12,30,199,380,5,0.124,1.9000000000000001,64.33,13,1010,96,391,517,834,3,1.103,147.5
2002,1,4,13,30,145,528,5,0.124,1.6,60.86,14,1010,89,389,466,816,8,1.087,145.3
2002,1,4,14,30,155,185,5,0.124,1.3,60.53,14,1010,78,224,358,757,7,1.058,128.3
2002,1,4,15,30,61,620,6,0.124,1,74.05,12,1010,61,208,208,620,1,1.018,114.30000000000001
2002,1,4,16,30,27,136,6,0.124,1,84.73,10,1010,27,38,49,283,3,0.977,112.5
2002,1,4,17,30,0,0,5,0.124,1.2000000000000002,89.31,8,1010,0,0,0,0,4,0.932,116.5
2002,1,4,18,30,0,0,5,0.124,1.2000000000000002,97.13,7,1010,0,0,0,0,7,0.889,122.2
2002,1,4,19,30,0,0,5,0.124,1.1,97.33,7,1010,0,0,0,0,7,0.878,136.3
2002,1,4,20,30,0,0,5,0.124,1,90.58,8,1010,0,0,0,0,7,0.903,156.4
2002,1,4,21,30,0,0,5,0.124,1,91.04,8,1010,0,0,0,0,7,0.915,169.20000000000002
2002,1,4,22,30,0,0,5,0.124,1,96.03,7,1010,0,0,0,0,4,0.882,165.60000000000002
2002,1,4,23,30,0,0,5,0.124,1,93.86,7,1010,0,0,0,0,0,0.846,156.20000000000002
2002,1,5,0,30,0,0,4,0.124,0.9,91.96000000000001,7,1010,0,0,0,0,0,0.839,158.20000000000002
2002,1,5,1,30,0,0,4,0.124,0.7000000000000001,89.93,7,1010,0,0,0,0,3,0.851,167.4
2002,1,5,2,30,0,0,4,0.124,0.4,88.29,7,1010,0,0,0,0,1,0.878,178.20000000000002
2002,1,5,3,30,0,0,4,0.124,0.30000000000000004,81.23,8,1010,0,0,0,0,7,0.905,172.10000000000002
2002,1,5,4,30,0,0,3,0.124,0.6000000000000001,85.19,7,1010,0,0,0,0,7,0.924,136
